gene_symbol,group,names,scores,logfoldchanges,pvals,pvals_adj
FCER1G,0,ENSG00000158869,105.5409,6.2205644,0.0,0.0
TYROBP,0,ENSG00000011600,103.48727,5.8935733,0.0,0.0
TRDC,0,ENSG00000211829,97.248604,5.7124367,0.0,0.0
GNLY,0,ENSG00000115523,84.89157,4.387346,0.0,0.0
XCL2,0,ENSG00000143185,83.558556,4.227077,0.0,0.0
CTSW,0,ENSG00000172543,81.42608,2.6513932,0.0,0.0
AREG,0,ENSG00000109321,81.40044,4.704722,0.0,0.0
MATK,0,ENSG00000007264,80.24024,3.7249565,0.0,0.0
KLRC1,0,ENSG00000134545,79.94398,4.778545,0.0,0.0
XCL1,0,ENSG00000143184,77.6051,4.3659916,0.0,0.0
CD7,0,ENSG00000173762,77.08756,1.6483891,0.0,0.0
CD63,0,ENSG00000135404,76.38527,1.4410471,0.0,0.0
GSTP1,0,ENSG00000084207,74.54677,1.8622508,0.0,0.0
TXK,0,ENSG00000074966,74.28485,4.475243,0.0,0.0
HOPX,0,ENSG00000171476,71.99392,3.2445383,0.0,0.0
KRT81,0,ENSG00000205426,71.738976,5.0757656,0.0,0.0
KLRD1,0,ENSG00000134539,70.718376,3.2442205,0.0,0.0
NKG7,0,ENSG00000105374,68.94472,2.0924108,0.0,0.0
TMIGD2,0,ENSG00000167664,65.25873,4.007341,0.0,0.0
TNFRSF18,0,ENSG00000186891,60.349052,2.6189697,0.0,0.0
PRF1,0,ENSG00000180644,59.64146,1.9419346,0.0,0.0
LAT2,0,ENSG00000086730,58.64628,3.297403,0.0,0.0
KRT86,0,ENSG00000170442,57.867645,3.5867348,0.0,0.0
CXXC5,0,ENSG00000171604,57.22193,3.4885776,0.0,0.0
CCL5,0,ENSG00000271503,54.968086,1.4664271,0.0,0.0
CLIC3,0,ENSG00000169583,54.89717,2.7188466,0.0,0.0
CAPG,0,ENSG00000042493,53.282436,2.4106753,0.0,0.0
KLRB1,0,ENSG00000111796,52.93959,2.5973444,0.0,0.0
ZNF683,0,ENSG00000176083,51.545544,2.5274425,0.0,0.0
SRGAP3,0,ENSG00000196220,50.526188,2.372732,0.0,0.0
SLC16A3,0,ENSG00000141526,50.440907,2.504971,0.0,0.0
